Loan purpose ,ID,Length of time as a client ,Length of loan ,Type of business / Industry ,Years in business ,Start-up business ,Cash-on-hand ,Total assets ,Debt/equity ratio ,Risk
Working Capital,1509,18,9,High-Tech,19,No,5636711.36,19371273.96,22,32.28839007
Inventory,1510,14,2,Manufacturing,13,Yes,5656763.215,12737166.19,58,67.5023341
Operation Expansion,1511,10,5,Healthcare,16,No,6237140.228,35219454.81,32,35.91341673
Employee/Payroll,1512,12,10,Financial Services,13,Yes,4729129.43,21088663.16,53,61.01523792
Operation Expansion,1513,17,4,Healthcare,18,Yes,5287966.604,28400845.17,28,48.63411714
Operation Expansion,1514,3,6,High-Tech,20,Yes,3861395.769,31112647.78,27,51.29771055
Employee/Payroll,1515,6,1,High-Tech,13,Yes,2474350.373,16925812.78,60,76.70179126
Operation Expansion,1516,19,3,Retail,14,Yes,4643707.339,19729607.5,30,61.48916738
Employee/Payroll,1517,10,4,High-Tech,14,Yes,6163990.904,38191407.13,35,50.06803026
Operation Expansion,1518,4,8,High-Tech,13,No,7734411.585,42646794.92,20,30.2114623
Employee/Payroll,1519,9,3,Hospitality,7,Yes,7130477.712,27228185.1,38,63.63194168
Inventory,1520,8,1,Manufacturing,7,Yes,3149731.929,26947392.22,43,81.29698996
Operation Expansion,1521,5,7,Hospitality,5,Yes,3373270.914,26092130.57,50,79.46441891
New Equipment,1522,9,4,High-Tech,19,No,6349493.218,24424023.1,46,38.20047054
Real Estate,1523,20,5,Hospitality,12,No,5857495.581,15994792.64,60,49.89841655
Real Estate,1524,11,8,Hospitality,13,No,3654478.848,22673059.8,38,52.20337986
Working Capital,1525,11,1,Financial Services,1,Yes,5411969.744,25514087.26,62,84.88960958
Working Capital,1526,11,9,Manufacturing,11,Yes,4549406.557,23710452.65,51,66.6674733
Inventory,1527,10,8,Manufacturing,13,Yes,3604941.366,20440085.28,44,67.35966143
Real Estate,1528,4,3,Manufacturing,9,Yes,4693168.8,30887066.24,49,73.34948371
New Equipment,1529,19,2,Retail,19,No,4566066.342,29869809.93,62,41.39078797
Employee/Payroll,1530,9,9,Retail,2,Yes,2999188.659,12557823.79,58,89.15056402
New Equipment,1531,18,2,Financial Services,3,Yes,5014321.931,27322396.41,38,78.95790633
Operation Expansion,1532,12,10,Financial Services,3,No,4977509.888,17522489.13,34,65.29667187
Working Capital,1533,19,2,High-Tech,4,No,5588763.69,23520972.25,54,62.8578435
Employee/Payroll,1534,5,6,Manufacturing,6,No,4921605.408,21700392.51,27,62.51296864
New Equipment,1535,4,3,Financial Services,2,Yes,3784202.306,20883764.03,39,91.00491434
New Equipment,1536,11,9,Hospitality,3,Yes,4814632.208,14569309.1,28,79.11402231
Working Capital,1537,12,6,Healthcare,6,Yes,6275308.209,27350138.66,25,65.68632212
Real Estate,1538,9,7,Retail,9,No,5105538.405,25929521.54,40,55.79789174
New Equipment,1539,18,6,Manufacturing,10,Yes,2269858.762,34620947.49,42,71.31038579
Employee/Payroll,1540,4,3,Financial Services,5,Yes,1915164.91,17737656.4,19,87.56190141
Operation Expansion,1541,6,5,Retail,16,Yes,3857011.387,37701470.84,42,57.43618143
Operation Expansion,1542,2,7,Manufacturing,1,Yes,8857881.264,26070353.94,64,72.69434838
Employee/Payroll,1543,13,5,Hospitality,15,Yes,5455627.889,21505546,30,54.69868209
Working Capital,1544,2,8,Manufacturing,12,No,5185939.389,35884351.26,65,49.87967016
New Equipment,1545,7,8,High-Tech,12,Yes,4157433.692,22378447.66,16,62.64762766
New Equipment,1546,10,3,Healthcare,10,Yes,5062361.262,25051439.09,46,69.82749179
Employee/Payroll,1547,4,1,Hospitality,20,No,6496047.066,24788971.06,53,37.03173369
Inventory,1548,18,7,High-Tech,10,No,6071747,34541710.63,22,39.78771685
Real Estate,1549,20,10,Retail,5,Yes,4159959.128,20761101.68,54,74.86325108
New Equipment,1550,1,6,Manufacturing,13,Yes,4305079.035,25727445.77,59,69.98603462
Employee/Payroll,1551,19,2,Manufacturing,11,Yes,3184302.911,26857949.04,25,67.95202444
Real Estate,1552,3,1,Financial Services,4,Yes,5271807.661,19599083.28,23,82.65095536
New Equipment,1553,1,6,Manufacturing,2,Yes,6095988.592,29972713.51,63,80.63993155
Operation Expansion,1554,7,7,Retail,3,Yes,1522492.106,21563575.44,37,90.35577829
Working Capital,1555,4,1,Healthcare,9,Yes,4363652.989,19453202.65,36,77.524437
Real Estate,1556,6,3,Hospitality,20,Yes,4220989.074,21685241.48,44,57.28463812
Operation Expansion,1557,20,9,High-Tech,11,Yes,5259364.858,24698556.44,29,56.84750021
Real Estate,1558,12,2,High-Tech,16,Yes,5209825.346,30154148.76,31,55.32796187
Operation Expansion,1559,12,4,High-Tech,2,No,5851339.449,30874486.52,60,62.9364472
Real Estate,1560,19,3,Hospitality,11,No,3872319.957,29704154.33,45,53.24501448
New Equipment,1561,8,8,Retail,9,No,5845536.488,24756127.95,18,50.3987099
Employee/Payroll,1562,2,6,Financial Services,3,Yes,4590664.965,39572424.98,57,76.37213811
Working Capital,1563,14,1,Healthcare,14,No,7129394.634,24509770.17,26,41.76386515
Inventory,1564,9,6,Manufacturing,1,Yes,3523870.324,21555035.55,47,88.53691023
Operation Expansion,1565,7,3,Healthcare,12,Yes,3783923.848,32691237.84,21,63.88141867
Working Capital,1566,15,4,Financial Services,13,Yes,5605925.946,28832655.09,40,59.00725304
Operation Expansion,1567,10,9,Financial Services,10,Yes,4515458.239,34952613.88,62,63.60311412
New Equipment,1568,12,1,Retail,16,Yes,7503162.821,29665779.57,21,48.63061242
Employee/Payroll,1569,1,5,Retail,18,Yes,9415032.193,11257085.66,19,44.57744709
Real Estate,1570,1,6,Retail,12,Yes,7622191.192,21192188.72,57,61.46002033
Employee/Payroll,1571,10,7,Healthcare,10,Yes,5013431.179,34914188.56,52,61.07497512
Employee/Payroll,1572,2,6,Retail,4,No,7437170.908,40523903.15,19,48.33774161
Working Capital,1573,2,8,High-Tech,20,Yes,5571871.696,16813512.12,32,51.85108671
Inventory,1574,10,5,Financial Services,10,Yes,3723775.009,9167532.101,57,78.61441074
Operation Expansion,1575,1,3,Hospitality,17,No,5606756.15,23641621.25,22,42.55814526
Employee/Payroll,1576,6,1,Financial Services,4,Yes,3303708.002,17885023.85,17,84.73640363
Employee/Payroll,1577,2,2,Healthcare,12,Yes,5510917.914,22589477.79,42,66.73005361
Operation Expansion,1578,5,1,Hospitality,20,Yes,6620679.997,24163064.25,34,48.63752929
Working Capital,1579,1,6,Healthcare,4,No,3697343.108,33201212.08,60,68.71037907
New Equipment,1580,10,4,Hospitality,10,Yes,6428279.69,36139021.89,30,57.97104448
Working Capital,1581,14,3,High-Tech,8,No,7110451.215,30142063.09,62,50.11661889
New Equipment,1582,10,6,Healthcare,4,Yes,3182471.071,21427314.96,63,85.6067975
Real Estate,1583,10,9,Healthcare,12,Yes,6973192.964,18517423.28,61,59.24521338
Operation Expansion,1584,11,4,Healthcare,19,No,4784030.662,36564601.68,49,36.73076173
Real Estate,1585,8,4,Retail,14,No,4262433.726,27568714.15,53,52.78238792
Operation Expansion,1586,4,2,Healthcare,5,No,4450779.654,23905143.76,65,69.90942702
Employee/Payroll,1587,14,4,Retail,6,Yes,4065366.508,25070484.07,61,76.1376243
New Equipment,1588,15,1,Healthcare,18,Yes,2643440.884,32495368.19,28,59.48508737
Employee/Payroll,1589,1,3,High-Tech,4,Yes,5855496.496,41043029.62,65,71.33449173
Employee/Payroll,1590,5,1,Healthcare,17,No,2537064.549,23279418.14,20,51.8852272
Inventory,1591,12,1,Financial Services,16,Yes,5643240.365,22385020.32,37,58.4266386
New Equipment,1592,2,2,Manufacturing,2,No,5456422.004,22781383.16,41,74.60649328
Real Estate,1593,9,8,Retail,13,No,6977012.958,32926411.14,41,39.9648042
Inventory,1594,8,6,Financial Services,8,No,5993228.706,36160387.41,49,51.06425679
Working Capital,1595,14,5,Manufacturing,15,No,5048346.446,13406443.58,32,50.7863806
Employee/Payroll,1596,11,1,Retail,9,No,4951088.013,37545166.36,22,50.60792852
Operation Expansion,1597,3,6,Manufacturing,16,Yes,4713345.595,19078697.27,30,62.41342969
Operation Expansion,1598,5,1,Financial Services,10,Yes,8117675.278,33265196.24,42,59.14536393
New Equipment,1599,16,8,Financial Services,20,No,3217362.747,34874188.56,39,38.18822106
Working Capital,1600,10,4,Healthcare,19,No,6878206.973,28868332.31,54,34.30661263
Real Estate,1601,12,8,High-Tech,9,Yes,4642371.976,30092893.3,31,64.39660888
Inventory,1602,1,8,Hospitality,19,Yes,3837319.771,32762543.42,60,53.07319333
Inventory,1603,19,8,Hospitality,8,Yes,6100577.732,20269860.07,51,62.6845654
Working Capital,1604,7,9,Financial Services,18,No,5616303.561,27492398.9,62,39.27821492
New Equipment,1605,6,2,High-Tech,10,Yes,1924605.143,19229824.22,32,82.40134054
Employee/Payroll,1606,3,4,Hospitality,19,No,6278473.798,32019015.1,62,35.01000879
Inventory,1607,3,1,Retail,15,Yes,4054813.963,36730950.95,49,62.46743875
Inventory,1608,16,1,Financial Services,19,Yes,6958701.745,14602948.8,39,51.43140181
New Equipment,1609,5,6,Financial Services,18,Yes,4919895.653,23466445.95,60,59.08185756
Operation Expansion,1610,1,2,Financial Services,13,No,2907461.76,22391903.96,64,64.3097168
Employee/Payroll,1611,5,3,Manufacturing,15,Yes,1787265.473,26954535.06,56,72.33739716
Real Estate,1612,8,2,High-Tech,2,Yes,5216565.629,26794761.8,45,81.92761031
Working Capital,1613,6,4,Manufacturing,13,No,3618689.761,25717393.1,20,54.57711255
New Equipment,1614,1,7,Retail,9,Yes,4667071.34,15536666.33,33,76.19201989
New Equipment,1615,13,2,Hospitality,13,Yes,5128497.043,23172117.26,32,63.08270291
New Equipment,1616,2,6,Financial Services,3,No,6635747.729,26708702.39,20,61.35888929
Employee/Payroll,1617,20,5,High-Tech,12,Yes,6539724.936,21884286.04,29,54.09119298
Real Estate,1618,9,4,Healthcare,9,Yes,4504666.427,23636677.15,35,72.10174659
Operation Expansion,1619,14,7,Manufacturing,20,No,3840769.952,23885066.63,25,39.29600905
Real Estate,1620,7,5,High-Tech,15,Yes,2432389.568,21654146.07,57,70.46974553
Inventory,1621,13,3,Healthcare,13,No,5080206.944,39176394.1,17,39.40840729
Operation Expansion,1622,1,2,Hospitality,1,Yes,3476584.89,38345796.06,42,84.95047385
Real Estate,1623,11,10,Financial Services,20,No,7338981.679,48023611.18,45,20.06989131
Working Capital,1624,11,8,Financial Services,11,Yes,947523.0723,33128020.29,30,72.72295074
Working Capital,1625,17,3,Healthcare,19,No,4968102.819,22440040.51,54,41.32865969
Inventory,1626,3,2,Financial Services,2,Yes,5199439.373,22506566.13,39,84.93128259
Operation Expansion,1627,18,7,Manufacturing,10,No,7866545.998,4312455.773,46,51.70870801
Working Capital,1628,18,3,Manufacturing,6,Yes,4649485.944,32453353.76,40,72.13069286
Employee/Payroll,1629,18,5,Financial Services,8,Yes,3567274.558,26823780.72,25,69.40913123
Operation Expansion,1630,5,10,Financial Services,7,Yes,3728700.502,28075432.48,21,70.88478384
Employee/Payroll,1631,11,2,Retail,18,Yes,2386019.807,30812181.19,21,58.18051593
Operation Expansion,1632,13,1,High-Tech,2,Yes,4413834.495,36655102.44,65,79.35628642
Operation Expansion,1633,6,9,Hospitality,11,No,4460578.785,22763843.04,46,53.38336436
Inventory,1634,17,6,Financial Services,9,Yes,3756841.597,29052831.6,60,69.2279001
Inventory,1635,19,5,Retail,8,No,3055182.816,31225599.75,50,58.96989922
Employee/Payroll,1636,2,8,High-Tech,1,Yes,8053623.886,13663538.36,54,76.24897673
Working Capital,1637,5,2,Healthcare,2,No,4624420.635,29891980.63,17,66.75246701
Working Capital,1638,4,1,Retail,14,Yes,2006732.947,21528897.64,44,77.07408034
New Equipment,1639,8,4,Retail,14,Yes,5260317.854,24840184.68,60,63.85858774
Real Estate,1640,17,6,Retail,1,No,6323945.042,28111853.22,31,61.29479944
New Equipment,1641,19,10,Retail,10,Yes,2652290.295,24006107.81,35,69.7743747
Real Estate,1642,12,10,Hospitality,15,Yes,3191307.553,45799323.16,53,52.5963225
Operation Expansion,1643,11,4,Healthcare,7,No,5805259.867,37907647.61,30,50.9198748
Working Capital,1644,19,6,Hospitality,7,No,4096267.071,23928892.39,63,59.59169433
Real Estate,1645,13,6,Healthcare,5,Yes,4460184.092,20142498.27,44,78.18838869
Inventory,1646,10,3,High-Tech,7,Yes,3559454.082,27304523.65,65,76.81293066
Real Estate,1647,6,9,Manufacturing,5,Yes,6382421.49,28931815.86,55,70.82931861
Employee/Payroll,1648,20,5,Hospitality,20,Yes,4332821.772,26694880.03,58,47.66611869
Operation Expansion,1649,11,9,Manufacturing,8,Yes,7130136.67,12694498.58,31,65.86846337
Real Estate,1650,2,6,Healthcare,20,Yes,4467819.616,18315886.18,37,57.58445458
Employee/Payroll,1651,12,1,Retail,7,Yes,7812793.517,22804027.9,60,66.31852419
Working Capital,1652,20,7,Healthcare,18,No,4990230.962,24415292.28,49,38.13706472
Inventory,1653,4,9,Financial Services,2,No,4150634.415,9191356.013,64,77.34871589
New Equipment,1654,13,8,Hospitality,8,Yes,6373334.824,18758901.17,30,64.71190665
Operation Expansion,1655,17,4,Manufacturing,16,Yes,5638735.088,24371658.35,45,55.51943113
Employee/Payroll,1656,11,7,Retail,9,Yes,3975973.485,16283708.11,18,69.30188475
Real Estate,1657,10,7,Retail,1,No,6359915.415,27736304.59,55,64.61784494
Inventory,1658,4,4,Retail,2,Yes,4643090.759,28794060.19,19,78.69365043
New Equipment,1659,18,4,Retail,15,No,7171379.115,17417367.45,51,43.27242821
Inventory,1660,8,3,Hospitality,7,Yes,5149577.621,25019049.04,48,72.23656705
Working Capital,1661,8,2,Healthcare,5,No,4937688.905,29709367.22,42,64.20702615
Employee/Payroll,1662,5,6,Healthcare,6,No,6189839.18,24953689.85,56,58.03405144
Real Estate,1663,15,5,Retail,20,Yes,5487788.664,35795412.83,21,41.7735279
Employee/Payroll,1664,14,5,Retail,9,Yes,5812105.915,24574327.8,41,64.31966525
Working Capital,1665,11,3,Retail,14,No,5669681.607,31460173.36,16,40.74299052
Employee/Payroll,1666,17,4,High-Tech,18,No,6645742.816,31642427.98,35,30.07771672
Real Estate,1667,16,8,Retail,4,Yes,6787434.336,13189012.97,32,72.42915399
Inventory,1668,11,2,Retail,17,No,6456519.709,21930443.54,60,42.46883246
Employee/Payroll,1669,7,8,Hospitality,17,No,5206701.542,18889703.45,48,42.33649238
Real Estate,1670,16,5,Manufacturing,16,No,6941193.751,28310773.73,65,38.926894
New Equipment,1671,12,1,High-Tech,6,No,3943124.228,11021252.98,32,72.26149277
Inventory,1672,6,5,Retail,7,Yes,2731232.932,29750614.08,16,73.66968957
Working Capital,1673,11,10,Hospitality,11,Yes,4658338.043,35454844.15,47,58.21198835
Real Estate,1674,20,5,Financial Services,18,No,5242433.945,27687214.23,41,38.39384354
Working Capital,1675,4,9,Manufacturing,17,Yes,4636090.761,21836840.42,30,58.02497971
Inventory,1676,16,6,Healthcare,1,Yes,5749183.689,30982495.08,35,73.08416782
Operation Expansion,1677,12,5,Financial Services,5,Yes,3316946.571,31048803.56,54,78.88625623
New Equipment,1678,15,6,High-Tech,9,No,7577623.799,28187094.74,57,46.24778578
New Equipment,1679,11,1,Hospitality,15,Yes,4275903.158,9152487.143,37,70.03578446
New Equipment,1680,7,8,Manufacturing,4,No,5268768.138,18017681.7,51,68.70914024
Inventory,1681,3,7,Manufacturing,6,Yes,3575442.165,22920745.33,46,80.90430306
Working Capital,1682,9,1,Financial Services,11,Yes,8558717.772,27997076.58,24,55.30963119
Operation Expansion,1683,20,8,Financial Services,4,Yes,4952317.881,31313583.37,21,67.09710764
Working Capital,1684,6,5,High-Tech,8,No,4247146.801,33594327.72,50,58.48685076
Employee/Payroll,1685,15,2,Manufacturing,3,Yes,6327652.289,31243112.04,40,72.3966879
Operation Expansion,1686,6,9,Healthcare,10,Yes,4649284.4,17017778.32,17,65.61494512
New Equipment,1687,6,2,Healthcare,14,Yes,2063798.987,23018736.96,34,74.64417284
New Equipment,1688,3,10,Financial Services,3,Yes,3593092.142,16578402.65,52,88.01800648
Employee/Payroll,1689,1,9,Financial Services,11,No,5955506.726,17588555.05,53,53.73568568
Employee/Payroll,1690,7,10,Retail,7,No,5039380.823,36799138.79,51,52.11967922
Working Capital,1691,16,5,Hospitality,17,Yes,1747871.858,7324243.769,37,70.11970184
Operation Expansion,1692,1,8,Manufacturing,16,Yes,4024886.416,19679908.7,63,65.71583848
Operation Expansion,1693,11,4,Hospitality,15,Yes,4181004.722,18166522.52,16,58.87195729
Employee/Payroll,1694,19,1,Healthcare,19,No,4238011.009,21824722.73,18,38.65434055
New Equipment,1695,19,2,Financial Services,18,Yes,7172524.218,26141225.92,47,48.55240905
Employee/Payroll,1696,18,1,Hospitality,12,Yes,5445492.394,25977255.39,53,60.65680206
New Equipment,1697,10,1,Healthcare,6,Yes,2429340.048,15763039.32,37,89.10667572
Real Estate,1698,1,3,Hospitality,19,Yes,6917041.575,30798941.75,33,47.45201726
Operation Expansion,1699,8,3,Manufacturing,9,Yes,5801666.923,22996514.74,22,67.75343542
Real Estate,1700,5,3,Hospitality,1,Yes,5454699.721,34019357.92,41,79.41213346
New Equipment,1701,4,3,Manufacturing,20,Yes,3677487.899,29850250.61,22,56.56546389
Inventory,1702,18,8,Healthcare,8,No,3610261.568,20293590.32,44,59.0945438
Employee/Payroll,1703,4,1,Financial Services,12,No,5344546.98,35776225.78,30,49.44008865
New Equipment,1704,1,6,Hospitality,10,Yes,3849808.52,24850015.28,64,74.33801438
New Equipment,1705,5,3,Manufacturing,14,Yes,7475855.734,34132056.79,26,53.15201418
Operation Expansion,1706,19,5,Manufacturing,15,Yes,4321258.791,30209648.75,24,55.24694457
Working Capital,1707,13,6,Hospitality,13,No,5287750.164,22125662.85,29,46.53240771
Real Estate,1708,12,7,Hospitality,2,No,2470423.18,13637456.75,51,78.6318863
Inventory,1709,7,8,High-Tech,18,Yes,2950360.68,25922032.3,40,57.79841696
Operation Expansion,1710,16,6,Hospitality,20,No,7089658.933,22672646.5,18,25.26037989
Employee/Payroll,1711,9,1,High-Tech,12,No,5410742.376,14471134.25,16,51.23909422
Operation Expansion,1712,6,3,Healthcare,2,Yes,2834448.001,21326856.48,27,89.32030307
Inventory,1713,8,8,Manufacturing,1,Yes,1310798.906,31549306.21,31,89.08143335
Operation Expansion,1714,18,8,Financial Services,5,Yes,3838146.456,23876522.14,16,70.84599206
New Equipment,1715,15,5,High-Tech,6,Yes,3390627.977,19184875.43,39,80.0004794
Operation Expansion,1716,4,8,High-Tech,12,No,4268385.862,27895209.85,52,52.41730829
Real Estate,1717,12,8,Hospitality,7,Yes,4257855.531,27323993.52,24,68.35048734
Operation Expansion,1718,8,2,Hospitality,20,Yes,2101079.394,32178823.64,28,57.18777379
Operation Expansion,1719,13,3,Hospitality,17,Yes,4074100.468,22907558.74,30,57.58665717
Operation Expansion,1720,12,6,Financial Services,12,Yes,4515626.523,34633530.44,59,61.79120406
Operation Expansion,1721,2,5,Hospitality,9,No,6459304.811,23778778.06,49,54.14084194
Working Capital,1722,14,4,Financial Services,10,Yes,5031028.08,25894900.03,15,62.18794375
Employee/Payroll,1723,1,7,Healthcare,17,Yes,2625180.023,21739527.79,33,64.1376934
Working Capital,1724,18,8,Manufacturing,18,No,5457586.36,29439620,29,34.3836919
New Equipment,1725,9,2,Manufacturing,6,No,5836465.043,21376490.52,22,62.66759166
Working Capital,1726,17,5,Manufacturing,9,Yes,5236613.146,27311618.98,34,65.91189347
Real Estate,1727,2,6,Financial Services,6,Yes,5672120.441,30200820.02,48,73.46982944
Operation Expansion,1728,9,8,Healthcare,3,Yes,3698367.842,37100311.43,40,75.63439981
Inventory,1729,20,7,Financial Services,13,Yes,5935848.661,18190057.96,42,57.75050626
Working Capital,1730,17,2,Healthcare,12,Yes,2475027.716,30368680.26,47,70.04109787
Operation Expansion,1731,14,1,Healthcare,20,No,4597846.876,21803486.12,42,42.3421186
Operation Expansion,1732,15,8,Retail,19,No,4165983.847,19408963.68,15,36.50010417
Employee/Payroll,1733,9,5,Manufacturing,11,No,3641599.195,18328837.84,21,57.89042795
New Equipment,1734,18,4,Retail,3,Yes,4639946.728,34580035.44,39,75.41161544
New Equipment,1735,4,2,Retail,19,Yes,6273659.668,28215010.98,27,51.39835006
Real Estate,1736,6,8,Financial Services,18,Yes,3015339.871,33343615.92,43,58.08821424
New Equipment,1737,19,6,Healthcare,14,No,3873245.375,25596478.47,58,50.05338726
New Equipment,1738,9,5,Manufacturing,10,No,3100579.354,26735305.66,45,63.3419509
New Equipment,1739,7,3,High-Tech,17,Yes,5779749.403,27872914.2,16,50.62506371
New Equipment,1740,13,10,Healthcare,9,Yes,3948424.272,33533584.79,32,64.59830248
Real Estate,1741,2,6,Financial Services,3,No,3169911.064,26824055.64,55,75.55139151
Inventory,1742,4,4,High-Tech,11,Yes,4237817.035,30562881.71,23,64.74014045
Real Estate,1743,1,5,Retail,8,Yes,8057214.077,30346047.82,65,63.83185655
Operation Expansion,1744,11,3,High-Tech,19,Yes,4201753.843,35611146.64,55,51.75962911
Employee/Payroll,1745,11,2,Healthcare,3,No,3605536.804,32200569.12,60,69.04174332
Real Estate,1746,2,7,Healthcare,4,Yes,3837704.227,27175990.8,26,79.91789077
Working Capital,1747,11,8,Financial Services,11,Yes,4462404.45,27352489.34,51,65.65853617
Operation Expansion,1748,8,2,Financial Services,3,No,6421937.89,26678207.96,48,64.86847981
Operation Expansion,1749,12,5,High-Tech,14,No,7488750.524,16003746.9,26,40.99506377
New Equipment,1750,5,5,Healthcare,9,No,5469578.094,13722996.6,29,61.12597019
New Equipment,1751,5,1,Healthcare,18,Yes,6457594.981,29584774.87,19,49.87944941
Employee/Payroll,1752,8,4,Financial Services,8,Yes,5660790.286,32968866.08,34,65.54733127
New Equipment,1753,17,2,Manufacturing,3,Yes,4165303.866,32138393.75,17,76.58276912
Operation Expansion,1754,4,4,Healthcare,1,No,5738753.877,15082102.69,57,74.29896128
Operation Expansion,1755,4,5,High-Tech,1,No,7897882.474,14161393.63,22,63.33904776
Employee/Payroll,1756,13,10,Hospitality,4,Yes,9301247.542,18950915.2,47,59.53445526
Inventory,1757,19,7,High-Tech,4,Yes,6247181.931,20568475.06,41,69.20736475
Working Capital,1758,15,6,Retail,13,Yes,5088818.788,33974391.6,18,53.00584674
New Equipment,1759,9,9,Manufacturing,3,Yes,3769707.766,22330151.22,57,84.56667356
Inventory,1760,16,1,Financial Services,17,No,5988186.56,23801971.98,33,41.09708289
Employee/Payroll,1761,8,7,Healthcare,12,No,4334119.927,8855279.837,23,55.89222093
Inventory,1762,14,1,Financial Services,9,Yes,3607013.504,25991215.65,64,75.47024779
Inventory,1763,5,4,Retail,20,Yes,6388313.325,25498163.63,31,47.41463923
Employee/Payroll,1764,4,7,Retail,2,No,3098433.107,19748091.62,27,74.18951447
New Equipment,1765,12,7,Manufacturing,20,Yes,2966862.644,27986331.1,40,56.67373065
Real Estate,1766,15,1,Healthcare,5,Yes,3029063.249,25411696.12,40,83.06342093
Inventory,1767,10,7,Manufacturing,2,Yes,3473833.059,35808028.6,42,79.98165406
Real Estate,1768,10,6,Hospitality,20,No,4097722.845,18727353.89,62,43.95498505
Operation Expansion,1769,10,7,Retail,8,Yes,4065650.243,32877474.13,46,69.31121234
Employee/Payroll,1770,14,1,High-Tech,11,Yes,5043206.397,29399868.86,19,59.88967559
New Equipment,1771,10,10,Financial Services,11,Yes,6806678.16,40653723.86,56,53.05042672
Working Capital,1772,14,3,High-Tech,3,Yes,2775724.748,13485639.95,58,90.83855131
New Equipment,1773,1,4,Hospitality,10,Yes,3608709.233,30900889.11,37,72.64554977
Working Capital,1774,4,7,Healthcare,9,Yes,4417804.607,28520103.76,57,70.79813765
Inventory,1775,14,2,High-Tech,12,Yes,5294609.543,38631777.16,57,57.76882759
New Equipment,1776,9,10,High-Tech,20,No,7120621.035,21694557.72,30,29.74177776
Inventory,1777,7,9,High-Tech,6,Yes,2733724.155,25931333.65,60,78.29507057
Operation Expansion,1778,6,5,Retail,1,Yes,5943122.35,40384398.92,17,69.94863336
Real Estate,1779,12,6,Manufacturing,9,Yes,5621550.425,19095875.68,63,71.09117452
Inventory,1780,17,2,Healthcare,14,No,5363305.151,26468265.82,57,46.39561264
Real Estate,1781,6,7,Manufacturing,9,No,8036199.622,16636473.68,55,53.12678791
Operation Expansion,1782,5,6,High-Tech,6,No,4657599.896,12812175.74,46,67.79651353
Operation Expansion,1783,2,5,Financial Services,6,No,4357580.141,10330669.1,52,73.19045749
Inventory,1784,5,3,Healthcare,9,No,4474241.714,27511358.81,26,57.59063575
Real Estate,1785,5,4,Healthcare,11,No,4984938.903,25565741.28,39,55.86163949
Working Capital,1786,11,2,High-Tech,18,Yes,7490357.472,28477797.64,42,46.43154946
New Equipment,1787,14,2,High-Tech,12,Yes,5368952.97,28151694.85,58,63.79114793
Real Estate,1788,5,1,Manufacturing,20,Yes,4660347.205,22646805.37,18,55.7276087
Operation Expansion,1789,7,1,Hospitality,5,Yes,1918183.896,34138367.79,57,84.54599492
Employee/Payroll,1790,4,6,Financial Services,19,Yes,3607459.539,24691073.85,59,58.90985235
Working Capital,1791,6,9,High-Tech,17,No,3821043.903,21977845.92,25,44.751492
Operation Expansion,1792,1,8,Financial Services,16,Yes,5017999.47,27788442.19,37,57.47152237
Operation Expansion,1793,11,9,Financial Services,12,Yes,5454363.191,23164165.49,34,60.24834212
Inventory,1794,15,8,Hospitality,13,No,5955918.363,22040652.55,63,43.69569749
Employee/Payroll,1795,12,3,Manufacturing,15,Yes,3349084.529,38768343.62,18,55.82621389
Inventory,1796,13,5,High-Tech,14,Yes,5509737.065,31869787.74,56,54.80872344
Inventory,1797,5,8,Retail,14,Yes,3731023.777,9870828.476,64,71.10994645
Operation Expansion,1798,6,3,Retail,12,No,4282779.336,16663931.86,18,56.31432451
Inventory,1799,6,1,Hospitality,17,No,14941.30403,35538452.96,38,56.88758984
Real Estate,1800,10,10,High-Tech,11,Yes,4413780.157,20798122.75,57,66.67861737
Real Estate,1801,19,9,Healthcare,18,No,4164478.967,24545402.41,39,39.49831969
Inventory,1802,18,10,Hospitality,6,No,4271695.419,31102575.14,32,52.50080878
Operation Expansion,1803,17,10,Healthcare,8,Yes,6570479.98,25441696.43,31,58.34881058
Operation Expansion,1804,15,7,High-Tech,9,No,4720572.401,15059509.76,51,58.13325108
Employee/Payroll,1805,13,6,High-Tech,2,Yes,6469146.423,19315389.92,65,75.49363094
New Equipment,1806,12,2,Manufacturing,19,Yes,3866451.885,28432335.98,27,57.26997117
Real Estate,1807,18,4,Healthcare,16,Yes,7913669.879,27560569.82,43,46.12894944
Working Capital,1808,8,2,Healthcare,3,Yes,2104118.165,27888566.36,28,88.02487527
Operation Expansion,1809,17,1,High-Tech,4,Yes,3301030.048,28175698.22,62,81.6499917
Employee/Payroll,1810,20,5,Manufacturing,10,No,5611443.981,27636316,44,48.97298209
Employee/Payroll,1811,20,3,Manufacturing,20,No,2619880.6,24362895.59,43,44.76558389
Employee/Payroll,1812,1,9,Healthcare,15,No,9299269.678,22181244.28,65,34.28921599
New Equipment,1813,4,8,High-Tech,3,No,3348796.473,15106297.54,42,76.04526484
Working Capital,1814,9,2,Manufacturing,1,No,4982586.688,36001400.92,19,65.70486391
Working Capital,1815,8,3,Healthcare,19,Yes,4873185.981,18698373.26,59,58.60756096
Inventory,1816,7,5,Manufacturing,7,No,7924524.599,21479022.52,58,54.44593236
Operation Expansion,1817,15,2,Financial Services,17,Yes,5532896.616,30127425.91,44,53.36412285
New Equipment,1818,7,1,High-Tech,14,Yes,4826422.025,21175897.43,28,65.80880723
